threshold,threshold_value,X,Y,Method,R,P,N
p75,3282.1428571428573,in_degree,MeanZFC,spearman,0.569094682364433,2.9912906022804366e-05,47
p75,3282.1428571428573,in_degree,MeanRawFC,pearson,0.5772519872474742,2.159041826048923e-05,47
p75,3282.1428571428573,in_degree,MeanRawFC,spearman,0.5510890330959114,5.963259078873122e-05,47
p75,3282.1428571428573,out_strength,MeanZFCV,pearson,-0.11233507501647438,0.4521851732613612,47
p75,3282.1428571428573,out_strength,MeanZFCV,spearman,-0.17356614246068455,0.2433116227694611,47
p75,3282.1428571428573,out_strength,MeanRawFCV,pearson,-0.11661565799627835,0.4350274681617226,47
p75,3282.1428571428573,out_strength,MeanRawFCV,spearman,-0.18674838112858466,0.2087901151678906,47
p75,3282.1428571428573,out_strength,MeanZFC,pearson,0.33963319995222857,0.0195116493906502,47
p75,3282.1428571428573,out_strength,MeanZFC,spearman,0.4978029602220167,0.0003703503888822461,47
p75,3282.1428571428573,out_strength,MeanRawFC,pearson,0.31115464192391573,0.03326346863905563,47
p75,3282.1428571428573,out_strength,MeanRawFC,spearman,0.47583256244218325,0.0007236166500630781,47
p75,3282.1428571428573,in_strength,MeanZFCV,pearson,-0.15171214251398127,0.3086843058240027,47
p75,3282.1428571428573,in_strength,MeanZFCV,spearman,-0.1963459759481961,0.18591805368412911,47
p75,3282.1428571428573,in_strength,MeanRawFCV,pearson,-0.1578295336725069,0.2893507722968583,47
p75,3282.1428571428573,in_strength,MeanRawFCV,spearman,-0.20397779833487512,0.16905263999631573,47
p75,3282.1428571428573,in_strength,MeanZFC,pearson,0.244483000776263,0.09768174702267315,47
p75,3282.1428571428573,in_strength,MeanZFC,spearman,0.5615171137835338,4.0185856014017274e-05,47
p75,3282.1428571428573,in_strength,MeanRawFC,pearson,0.2207740332454119,0.1358921462025799,47
p75,3282.1428571428573,in_strength,MeanRawFC,spearman,0.5472941720629046,6.862106494906238e-05,47
p90,10803.514285714286,RegionSC_DCA_scaled_sqrtN,MeanZFCV,pearson,0.04524215463981039,0.7626770370973147,47
p90,10803.514285714286,RegionSC_DCA_scaled_sqrtN,MeanZFCV,spearman,0.03805500969799679,0.7995274314480297,47
p90,10803.514285714286,RegionSC_DCA_scaled_sqrtN,MeanRawFCV,pearson,0.04680814162143155,0.7547132472708976,47
p90,10803.514285714286,RegionSC_DCA_scaled_sqrtN,MeanRawFCV,spearman,0.030723310581868966,0.8375682247492586,47
p90,10803.514285714286,RegionSC_DCA_scaled_sqrtN,MeanZFC,pearson,0.005248659276651673,0.972068361427191,47
p90,10803.514285714286,RegionSC_DCA_scaled_sqrtN,MeanZFC,spearman,-0.03828776205088974,0.7983267912319529,47
p90,10803.514285714286,RegionSC_DCA_scaled_sqrtN,MeanRawFC,pearson,0.0028038254340873063,0.9850768579509733,47
