species,node,n_recordings,level,EdgeStdFCV,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,class_order,class_label,class_short,fine_class,anatomy_group,fcv_rank
Drosophila,IB_R,20,side key,-0.33184381969444043,0.5455820601985235,0.11396780349218011,-0.06196703870982095,-0.0620208784513444,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,44.0
Drosophila,ICL_L,20,side key,-0.10344042262563098,0.8922193283592892,-0.5315883005452688,-0.22650567399779067,-0.1216230391757934,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,40.0
Drosophila,ICL_R,20,side key,-0.10944040696491512,1.0019100434941624,-0.5304248063530305,-0.5062212190321597,0.13764938789592562,4,integrative relay,integrative relay,lateral/inferior protocerebrum,protocerebrum,41.0
Drosophila,IPS_L,20,side key,0.8112218662075286,0.5318953288173607,-0.39102746459391474,0.9995714705787304,-0.275600100473909,-1,unclassified,unclassified,unclassified,protocerebrum,12.0
Drosophila,IPS_R,20,side key,1.137172667329096,0.3968819670311819,-0.43257700552916156,1.9328202083834551,-0.2691967158145857,-1,unclassified,unclassified,unclassified,protocerebrum,7.0
Drosophila,IVLP_L,20,side key,0.11017547760301002,0.3006965773097583,-0.25850173901986906,-0.06715058278557129,-0.16767539498888542,-1,unclassified,unclassified,unclassified,protocerebrum,36.0
Drosophila,IVLP_R,20,side key,-0.23012355998083497,0.29549610212311195,-0.08598729554318012,-0.33663112454586885,-0.44363199149263766,-1,unclassified,unclassified,unclassified,protocerebrum,43.0
Drosophila,LAL_L,20,side key,0.5868667282455361,1.398356617977036,-0.8970363236523273,0.2082312320453084,-0.5166931800204209,3,sensorimotor output,sensorimotor output,premotor / descending interface,premotor interface,20.0
Drosophila,LAL_R,20,side key,0.6555095246318801,1.4104378218088354,-0.7956099584899375,0.3603860186592087,-0.6971047764122703,3,sensorimotor output,sensorimotor output,premotor / descending interface,premotor interface,18.0
Drosophila,LB_L,20,side key,-1.152424281522785,-1.5900898680230786,1.12169338760345,-0.1826402694432235,-0.5396292349934921,-1,unclassified,unclassified,unclassified,protocerebrum,61.0
Drosophila,LB_R,20,side key,-1.0553786912219576,-1.7438828798329737,1.1065498215337846,-0.1304704076437544,0.7898117278579465,-1,unclassified,unclassified,unclassified,protocerebrum,57.0
Drosophila,LH_L,20,side key,0.6569952871135928,0.5446422996384475,-0.5896515510358057,-0.4215698525395011,-0.3046205091556121,0,olfactory / chemosensory,olfactory / chemosensory,olfactory system,olfactory neuropil,17.0
Drosophila,LH_R,20,side key,0.5758264737354817,-0.13291134759669596,-0.015887747515492642,-0.7496593775347773,-0.18429269106680357,0,olfactory / chemosensory,olfactory / chemosensory,olfactory system,olfactory neuropil,21.0
Drosophila,LOP_R,9,side key,-2.444688691004102,-2.72284445399481,2.6889542997095113,0.3034944814168489,-4.5374457008898474,-1,unclassified,unclassified,unclassified,protocerebrum,67.0
Drosophila,LO_L,20,side key,-1.4392171435240164,-2.0089826264806065,1.6944893521514277,-0.14480067452710554,2.4013272572647573,-1,unclassified,unclassified,unclassified,optic neuropil,63.0
Drosophila,LO_R,20,side key,-1.0681879492022441,-2.016477733316878,1.7131621645204205,-0.04724170560727457,1.9229137087351684,1,visual / optic,visual / optic,visual / optic,optic neuropil,58.0
Drosophila,MB_L,20,side key,1.1013951903330785,1.8170231230903298,-1.757051549322214,2.837339222106676,-1.1031917718849709,5,associative / learning,associative / learning,mushroom body,mushroom body,8.0
Drosophila,MB_R,20,side key,1.6540210538481859,1.5483939377892615,-1.709774418911554,2.5922892669849995,-0.5516577886855571,5,associative / learning,associative / learning,mushroom body,mushroom body,2.0
Drosophila,ME_L,19,side key,-1.7114932748692466,-2.1129027148592865,1.9979615977392116,-0.28239214728066026,1.7574414295231267,1,visual / optic,visual / optic,visual / optic,optic neuropil,64.0
Drosophila,ME_R,19,side key,-0.9421734947135965,-1.7595615202000976,1.518167552510696,-0.4584833241228492,-0.649764534276287,1,visual / optic,visual / optic,visual / optic,optic neuropil,54.0
Drosophila,NO,20,side key,-0.6013505624122627,-1.2172477197969418,0.1927399345362414,-0.2126312695631761,0.0034099918447777996,3,sensorimotor output,sensorimotor output,central complex navigation / visuomotor,central complex,48.0
Drosophila,OTU_L,20,side key,-0.035514472438756536,0.11140927683980754,-0.04631879075890501,-1.79473436820163,0.1802453692148227,-1,unclassified,unclassified,unclassified,protocerebrum,37.0
Drosophila,OTU_R,20,side key,-0.05165967934298223,-0.09722972792489361,0.08638169127903425,-1.2233644777403803,-0.07759042601799893,-1,unclassified,unclassified,unclassified,protocerebrum,38.0
Drosophila,PB,20,side key,0.8477086747583896,-0.5052981148919926,0.525737701721189,0.7804975420309307,-0.029862646452072084,3,sensorimotor output,sensorimotor output,central complex navigation / visuomotor,central complex,11.0
Drosophila,PLP_L,20,side key,0.4964176604523345,1.1880151421248286,-0.7691982701622595,0.9119640619113876,-0.5015413888780129,4,integrative relay,integrative relay,visual-association protocerebrum,protocerebrum,24.0
Drosophila,PLP_R,20,side key,0.3904355683999311,0.8040330060496893,-0.4772105009993858,-0.003285182494546102,0.1593322057389933,4,integrative relay,integrative relay,visual-association protocerebrum,protocerebrum,30.0
Drosophila,PRW,20,side key,-0.1253914564267013,-0.3534029903241892,0.45021019576995597,0.048558852524846534,-0.19525398230812427,-1,unclassified,unclassified,unclassified,protocerebrum,42.0
Drosophila,PVLP_L,20,side key,0.40066706479063646,0.8583966041950158,-0.4556688059095905,0.04424381395377786,-0.24279008748187908,4,integrative relay,integrative relay,visual-association protocerebrum,protocerebrum,29.0
Drosophila,PVLP_R,20,side key,0.17825062014588725,0.7484877230732443,-0.28701900508025036,0.16607107151806888,-0.5348100977648111,4,integrative relay,integrative relay,visual-association protocerebrum,protocerebrum,35.0
