species,node,n_recordings,NetTE,NeighborNetTE,NetTE_z,NeighborNetTE_z
Zebrafish,rMOS5,7,0.002470867514920983,0.00021258385692841784,0.6827672727326803,-0.05587969445394226
Zebrafish,rNX,7,0.0002684034509471576,0.0005332618207852963,0.261083369934158,0.776004139368946
Zebrafish,rP,7,0.0011538262329732001,0.00032715558364067906,0.4306064692930696,0.2413355121002629
Zebrafish,rPO,7,0.0027804072174555912,0.00028919089107871596,0.7420317628875756,0.14284974894240343
Zebrafish,rPT,7,-0.0005027335734669864,0.00024487362696182577,0.11344142863469708,0.027884519854962545
Zebrafish,rPrT,7,-0.001601291758557105,0.0001310084838753482,-0.09688858787610492,-0.2674977091897692
Zebrafish,rRa,6,-0.0016825035064388183,0.0006061260303853669,-0.11243739403372378,0.965024168377344
Zebrafish,rSP,7,0.00484628326886551,0.0004912492496939085,1.137564516545657,0.6670176088075299
Zebrafish,rT,7,-0.0010416172919750168,0.00017341615451181293,0.010266719320689795,-0.15748623472404757
Zebrafish,rTS,1,-0.02126687474179533,-0.0001812656244419921,-3.862062294373709,-1.0775807573239817
Zebrafish,rTeO,7,0.002194945110837852,-0.00025444894839576687,0.6299391525710303,-1.267428613941095
Zebrafish,rTh,7,0.0007008074802963635,0.00016312717522624185,0.3438714715265147,-0.184177297094723
Zebrafish,raRF,4,-0.009619137423100704,0.0005141006477912088,-1.631985803383335,0.726297356092814
Zebrafish,rimRF,6,-0.0018189361374597562,0.00029174154005152394,-0.1385587938145574,0.14946649186017658
Zebrafish,rpRF,7,0.0001281143197447021,0.0006723254788453186,0.23422360439549608,1.1367548676729269
