epsilon,run,layer,dynamic_fc_state,potential,fc_state_mean,fc_state_std
0.0,0,Layer 1,1.1137773528948531,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.127530007553502,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.1412826622121512,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.1550353168708005,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.1687879715294494,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.1825406261880986,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.196293280846748,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.2100459355053972,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.223798590164046,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.2375512448226953,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.2513038994813446,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.2650565541399934,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.2788092087986427,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.292561863457292,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.3063145181159412,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.32006717277459,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.3338198274332393,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.3475724820918886,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.3613251367505375,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.3750777914091867,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.388830446067836,22.17980409012082,0.6580290788927553,0.3215967202726918
0.0,0,Layer 1,1.4025831007264853,,0.6580290788927553,0.3215967202726918
