species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group
C. elegans,AVKR,0.1289578386435944,-0.0135462210341531,0.0070625858229213,0.370024052329843,1-hop induced structural neighborhood modularity Q,75.0,5.0,-0.7062192621272981,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,AVL,-0.1539672773458583,-0.0069589402806569,0.0202975222955369,0.48926794777909655,1-hop induced structural neighborhood modularity Q,79.0,6.0,-0.1541506798272583,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,AWAL,0.5762403946624005,0.0234944405480528,0.06721188019773,0.1805368927110395,1-hop induced structural neighborhood modularity Q,18.0,3.0,1.0628942060660305,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,AWAR,-0.4659730577520273,0.0178208159686248,0.010277817085978,0.411385050847887,1-hop induced structural neighborhood modularity Q,58.0,3.0,1.452252328911688,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,AWBL,0.2047008282547995,0.0439161015987454,0.0144368852043384,0.29601495726495725,1-hop induced structural neighborhood modularity Q,71.0,3.0,0.9501922835498364,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,AWBR,-0.6363961913476046,0.0412973584883009,0.0262123003665272,0.3115502037054492,1-hop induced structural neighborhood modularity Q,63.0,3.0,0.7178397931503168,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,AWCL,0.3811994243559774,0.0358871084858854,0.014307224674721,0.3206295091278699,1-hop induced structural neighborhood modularity Q,78.0,4.0,0.1590646946296872,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,AWCR,-0.358798074346615,0.0309666411000357,0.0160595269847305,0.40166626397129235,1-hop induced structural neighborhood modularity Q,82.0,4.0,0.5753641449035618,node_mean,,0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo
C. elegans,BAGL,1.4517242918919655,0.0300907143407224,0.0161606786518617,0.27452148620754363,1-hop induced structural neighborhood modularity Q,69.0,5.0,0.758529939822797,node_mean,,2,other sensory,other sensory,thermo/gas sensory,sensory neurons
C. elegans,CEPDL,-0.5279938050716838,0.0018778648141152,0.0311642340545337,0.5219449779456764,1-hop induced structural neighborhood modularity Q,99.0,6.0,1.4328143767547836,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,CEPDR,-1.0336978149852607,0.0292962675616043,0.0358032711083191,0.46271990069493196,1-hop induced structural neighborhood modularity Q,88.0,5.0,1.8899514954072687,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,CEPVL,-0.6287699083132322,0.008011582336464,0.040540942258045,0.31083689916711826,1-hop induced structural neighborhood modularity Q,89.0,5.0,1.127811443360372,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,CEPVR,-0.5960980289885239,0.0209005380391964,0.0403269229414609,0.45482825217677597,1-hop induced structural neighborhood modularity Q,120.0,5.0,0.7013104911991062,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,FLPL,-0.8686396013499773,-0.1149491501054033,0.080275585349633,0.1677120656435911,1-hop induced structural neighborhood modularity Q,57.0,5.0,2.2308411881352046,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,FLPR,-1.3991211090469498,-0.0595770609716446,0.0560912591379397,0.20012326427563676,1-hop induced structural neighborhood modularity Q,93.0,3.0,2.6567569067146595,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL1DL,-0.290695203170446,-0.0470399069015458,0.0336350446821504,0.40776925574222866,1-hop induced structural neighborhood modularity Q,16.0,3.0,-0.5465437063680699,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL1DR,0.336274529306921,-0.0867933481889604,0.002643577751553,0.496813322368421,1-hop induced structural neighborhood modularity Q,28.0,3.0,0.394993808240869,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL1L,0.3664802206317709,-0.1317128809018447,-0.0039304772272032,0.47279706790123455,1-hop induced structural neighborhood modularity Q,37.0,3.0,0.8174448972375224,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL1R,0.9045791661704076,-0.1190846052040121,-0.0438247959518256,0.33144220531930135,1-hop induced structural neighborhood modularity Q,74.0,3.0,0.7731898882334817,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL1VL,-0.0340689282916831,-0.1106772305974841,0.0182299836093793,0.29592740744717977,1-hop induced structural neighborhood modularity Q,30.0,4.0,0.1017826943099423,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL1VR,0.9773081250372956,-0.115110472722582,0.0178492388328706,0.39722293774061723,1-hop induced structural neighborhood modularity Q,28.0,3.0,0.1978257433299198,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL2DL,-1.0430143798119822,-0.0110232982195794,0.0088692614077106,0.31903133055720806,1-hop induced structural neighborhood modularity Q,26.0,3.0,3.355735007585398,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
