species,unit_type,node,n_edge_values,summary_from_sample,edge_target_dca_mean,edge_target_dca_median,edge_target_dca_q05,edge_target_dca_q25,edge_target_dca_q75,edge_target_dca_q95,edge_target_dca_frac_positive,edge_target_dca_frac_negative,edge_target_dca_weighted_mean,edge_weight_sum,EdgeStdFCV,PostDCA
C. elegans,neuron,IL1DR,9,False,-0.023229748641514978,0.0073729178809187,-0.19428626353333495,-0.0323870563140419,0.0382250942732381,0.06783333558064437,0.5555555555555556,0.4444444444444444,-0.0867933481889605,94.0,0.3518539766122726,-0.0867933481889604
C. elegans,neuron,ADLR,25,False,-0.005472175868882252,0.0051962142656811,-0.10704130869332827,-0.0109610448243358,0.0273839881279516,0.0817332994034534,0.56,0.44,-0.016382668617624316,152.0,0.3504312155228328,-0.0163826686176243
C. elegans,neuron,RIR,26,False,0.039148594456138504,0.034744001047062656,-0.01460269830212475,0.00735995061357705,0.053556515984836545,0.12450368102184023,0.8461538461538461,0.15384615384615385,0.04447275996984524,103.0,0.3497767747231379,0.0444727599698452
C. elegans,neuron,AWBL,16,False,0.018063268083521967,0.00428453166927805,-0.0284137226824826,-0.009336806665138326,0.033011870625597795,0.09480066228272441,0.625,0.375,0.04391610159874545,74.0,0.3496812336769264,0.0439161015987454
C. elegans,neuron,OLQDR,8,False,0.007474245830232179,0.022855556763870497,-0.14187751567371215,-0.0073108895614750246,0.0749720458596812,0.086342064751496,0.5,0.5,-0.06638096983490785,28.0,0.3490827651493454,-0.0663809698349078
C. elegans,neuron,IL2R,15,False,0.02181627289151864,0.0181694406675091,-0.016967863282322686,-0.0001882974348635,0.0393699954784446,0.07930101131156447,0.6666666666666666,0.3333333333333333,0.034899285303401945,87.0,0.348731709966598,0.0348992853034019
C. elegans,neuron,ASKR,12,False,0.008280329841768441,0.0058136520989751,-0.012623625582401515,0.0005050033753049,0.01205420255523165,0.038174890971805577,0.75,0.25,-0.0025467418219997187,55.0,0.3484460807444399,-0.0025467418219997
C. elegans,neuron,SAAVL,20,False,-0.02656089767859567,-0.0112471032763186,-0.16247687531001606,-0.018593881064889576,-0.001368302816552525,0.06576266183764928,0.25,0.75,-0.15128374059529345,151.0,0.3481048315072776,-0.1512837405952934
C. elegans,neuron,ADLL,24,False,-0.01518387359805345,0.01050870574161845,-0.3051737974288906,-0.010175317082990725,0.019203483045948575,0.0867201925836546,0.6666666666666666,0.3333333333333333,-0.022001107919007966,148.0,0.3476909634705747,-0.0220011079190079
C. elegans,neuron,URYDL,11,False,-0.05600746586039322,-0.0380918108046642,-0.19489454629910505,-0.1328429429650283,0.01042154904121545,0.0524086668802649,0.36363636363636365,0.6363636363636364,-0.10821989643171721,65.0,0.3472435338737615,-0.1082198964317172
C. elegans,neuron,AINL,14,False,-0.005087536264887936,0.0032000129749117498,-0.10102059132895586,-0.014287288769176076,0.012032719022289876,0.07003281586385408,0.5714285714285714,0.42857142857142855,-0.002740627438184692,47.0,0.3467973651175783,-0.0027406274381846
C. elegans,neuron,RMDR,13,False,-0.0016450748860082844,-0.0011708820484423,-0.20123891835858546,-0.0409830000644328,0.0638988056526612,0.1818246926179168,0.46153846153846156,0.5384615384615384,0.053555229250049796,71.0,0.3467046481776618,0.0535552292500498
C. elegans,neuron,ASGR,5,False,0.01862200588856608,0.0066198300754091,-0.010547428689186941,-0.0088929641485915,0.025061877317654,0.07003824028168647,0.6,0.4,-0.0032007243294031227,89.0,0.3453050980281514,-0.0032007243294031
C. elegans,neuron,SAADR,15,False,-0.048787498234856924,-0.0138555087015014,-0.35657637268412473,-0.0248360887373942,0.0098739514165997,0.051641901227717016,0.4,0.6,-0.12045896841877868,87.0,0.3438771251058332,-0.1204589684187786
C. elegans,neuron,RIAL,27,False,-0.04792463776325248,-0.022607016953492,-0.20758872377221854,-0.09820336043794065,0.018423959114614752,0.04136646607750549,0.37037037037037035,0.6296296296296297,-0.1068063283929411,400.0,0.3437955063724806,-0.1068063283929411
C. elegans,neuron,SMDDR,18,False,0.007754231418787342,0.0006068403762773,-0.08787941639645205,-0.0259506246293453,0.013912058577294049,0.15585804729430586,0.5,0.5,0.00870234188804627,71.0,0.3423127117237994,0.0087023418880462
C. elegans,neuron,IL1VL,9,False,-0.029570449023131377,-0.0032298462079387,-0.19428626353333495,-0.0312887770195158,0.0076180450879155,0.07237677161313491,0.4444444444444444,0.5555555555555556,-0.11067723059748412,61.0,0.3422299283485191,-0.1106772305974841
C. elegans,neuron,AIYR,14,False,0.02990145266173529,0.01022174405948715,-0.025034715252460767,0.004699754277191175,0.027704174613404325,0.1372176187781017,0.7857142857142857,0.21428571428571427,0.05387335991128038,202.0,0.3412661090469169,0.0538733599112803
C. elegans,neuron,URXL,23,False,0.010927481641457688,0.0200250838331974,-0.06291831856161988,0.0021183143467267,0.049314865560938545,0.08789057807968947,0.782608695652174,0.21739130434782608,0.03810579154079092,89.0,0.3411785845952754,0.0381057915407909
C. elegans,neuron,URYDR,14,False,-0.04339269124424513,-0.024746052698024948,-0.1828877788166358,-0.07027880289823497,0.010027707204824475,0.03480499117471757,0.42857142857142855,0.5714285714285714,-0.08693936351617085,62.0,0.3402787878954743,-0.0869393635161708
C. elegans,neuron,RMDVL,11,False,-0.020707698308977687,0.0117413470258144,-0.1815016774669302,-0.0477149713890247,0.023347401389711198,0.07602747979661265,0.6363636363636364,0.36363636363636365,-0.13824824505849317,58.0,0.3373869721321716,-0.1382482450584931
C. elegans,neuron,IL1DL,7,False,-0.05961849852159094,-0.0066756618042755,-0.19536610966770437,-0.11250220744856126,0.0011643190897433864,0.006371324774913166,0.2857142857142857,0.7142857142857143,-0.04703990690154586,32.0,0.3369346906485412,-0.0470399069015458
C. elegans,neuron,AUAL,12,False,0.003104496643947832,0.0280778196269188,-0.18165495032971096,-0.016192675812609674,0.06489529475008796,0.11174714005516537,0.6666666666666666,0.3333333333333333,-0.023395494998587476,89.0,0.3367137387406114,-0.0233954949985874
C. elegans,neuron,RMDDL,9,False,-0.010440306529128324,0.0136638968927762,-0.1830013428118668,-0.0059273917601516,0.0485868539758544,0.10665509094615588,0.5555555555555556,0.4444444444444444,-0.07544883430269823,41.0,0.3340769569046931,-0.0754488343026982
C. elegans,neuron,URBR,24,False,0.015294960689797799,0.0091262696435886,-0.04848336735961256,-0.0073086729211145,0.048170312351325795,0.07506963145766779,0.7083333333333334,0.2916666666666667,0.021974840531445716,71.0,0.3312190338559746,0.0219748405314457
C. elegans,neuron,ALA,7,False,-0.022364878002374584,-0.0003852445212089,-0.2893162587534666,-0.06467203745333941,0.0532865503429388,0.19742234698171876,0.42857142857142855,0.5714285714285714,-0.044091049324711265,25.0,0.33085458119846,-0.0440910493247112
C. elegans,neuron,RICL,20,False,-0.03707927564811396,-0.005448185708283051,-0.34908844554659957,-0.03832426784168377,0.027350173980394077,0.07576594563689501,0.45,0.55,-0.14877168463682566,94.0,0.3305586784404383,-0.1487716846368256
