species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,group_i,group_j,n_i,n_j,mannwhitney_p,holm_p
Drosophila,FCS,__global_kruskal__,1326.0,,,,413.7686911848941,3.1942621828116084e-87,,,,,,
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,optic neuropil,80.0,117.0,1.0075401720455233e-30,1.3098022236591804e-29
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,mushroom body,80.0,40.0,9.675325087351111e-12,6.267863539722926e-11
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,central complex,80.0,80.0,0.00018260815933603542,0.0007304326373441417
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,protocerebrum,80.0,889.0,0.0014815087582057914,0.002963017516411583
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,premotor interface,80.0,120.0,1.1938591767395588e-09,5.969295883697794e-09
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,mushroom body,117.0,40.0,4.3181269612590206e-21,4.3181269612590204e-20
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,central complex,117.0,80.0,1.7786456213761042e-25,1.9565101835137147e-24
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,protocerebrum,117.0,889.0,1.4943155941081457e-53,2.2414733911622187e-52
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,premotor interface,117.0,120.0,2.682294896559884e-40,3.7552128551838376e-39
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,central complex,40.0,80.0,8.954090771032752e-12,6.267863539722926e-11
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,protocerebrum,40.0,889.0,2.1019482267799292e-16,1.891753404101936e-15
Drosophila,FCS,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,premotor interface,40.0,120.0,0.000603024165544532,0.0018090724966335961
