species,unit_type,node,n_edge_values,summary_from_sample,edge_source_dca_mean,edge_source_dca_median,edge_source_dca_q25,edge_source_dca_q75,edge_source_dca_frac_positive,edge_source_dca_frac_negative,EdgeStdFCV
C. elegans,neuron,IL2R,6,False,0.04239390789306469,0.0393699954784446,0.016888357867941926,0.06868921715400253,0.8333333333333334,0.16666666666666666,0.348731709966598
C. elegans,neuron,OLQDR,10,False,0.01637826918299922,0.0061901960017298994,0.000699799379981225,0.0311757978497808,0.7,0.3,0.3490827651493454
C. elegans,neuron,AWBL,9,False,0.022197969774319065,0.0049314041219524,0.0023723922933974,0.0554327530766796,0.8888888888888888,0.1111111111111111,0.3496812336769264
C. elegans,neuron,RIR,21,False,0.03246786982950403,0.0273839881279516,0.0044078602232087,0.0599798831078108,0.8571428571428571,0.14285714285714285,0.3497767747231379
C. elegans,neuron,ADLR,17,False,0.004401048050530489,0.0045425003663694,-0.0002280372017873,0.0117413470258144,0.7058823529411765,0.29411764705882354,0.3504312155228328
C. elegans,neuron,IL1DR,10,False,-0.021487681658938367,0.007798774294343501,-0.0002081673183254,0.021652850875877025,0.6,0.4,0.3518539766122726
C. elegans,neuron,AWCL,12,False,0.01714096633705774,0.00607621846786295,0.004218272213312399,0.021692213815211525,0.8333333333333334,0.16666666666666666,0.3522118805826735
C. elegans,neuron,SMDVR,24,False,0.011684819111583061,0.01568997763412215,-0.021173867241893976,0.07304761932452497,0.625,0.375,0.3524284855523643
C. elegans,neuron,RMED,14,False,-0.02173347987566426,-0.0082978629874652,-0.045097195597778146,0.007914782163763175,0.42857142857142855,0.5714285714285714,0.353374317071198
C. elegans,neuron,URYVL,6,False,0.01638972528916392,0.0476172099677539,0.01905649163873165,0.07168138688294258,0.8333333333333334,0.16666666666666666,0.3534950362461274
C. elegans,neuron,SMDDL,25,False,0.027327159139957525,0.0068724871575395,-0.0088929641485915,0.0722051142690488,0.6,0.4,0.3540710862406407
C. elegans,neuron,IL1L,9,False,-0.024808737044396807,0.0037459166321386,-0.0409830000644328,0.0084350888489262,0.5555555555555556,0.4444444444444444,0.3545102878121302
C. elegans,neuron,OLQVR,13,False,0.004906861771315816,0.0045425003663694,0.001988066247184,0.0481867293131309,0.7692307692307693,0.23076923076923078,0.354593484297119
C. elegans,neuron,SMBVR,17,False,0.026534301177548545,0.0144173800866849,0.0020318444577313,0.0542019076602131,0.7647058823529411,0.23529411764705882,0.3551667481069022
C. elegans,neuron,OLLR,19,False,0.02407471978342733,0.0307085258137396,0.00162763596174975,0.05139438081803375,0.7368421052631579,0.2631578947368421,0.3552261822478234
