ratio_L2_to_L3_over_L3_to_L2,log2_ratio,trial,layer,node,global_node_idx,FCV,PostDCA,PreDCA
0.2,-2.321928094887362,1,2,L2_028,28,-0.8036967629816156,-1.061685007426923,0.21565473818978725
0.2,-2.321928094887362,1,2,L2_029,29,1.2302240540773957,0.03803981051733201,0.5473530391051578
0.2,-2.321928094887362,1,2,L2_030,30,1.1533971189307684,-0.6023137990151491,-0.1776694015255718
0.2,-2.321928094887362,1,2,L2_031,31,-0.366950770037884,0.28827850494012935,-0.3502470612541241
0.2,-2.321928094887362,1,2,L2_032,32,-0.5807318748911598,-0.45941702854634064,1.1514204381066113
0.2,-2.321928094887362,1,2,L2_033,33,-0.7436092707949348,-0.10118503407990828,0.987607845313007
0.2,-2.321928094887362,1,2,L2_034,34,0.022636730091371255,-0.6648714800827695,-1.343727196255169
0.2,-2.321928094887362,1,2,L2_035,35,-0.38195419348382625,0.074879706060542,0.6687592884798252
0.2,-2.321928094887362,1,2,L2_036,36,-2.660414350701366,-0.39388302284077775,0.9680885053178412
0.2,-2.321928094887362,1,2,L2_037,37,-0.4927090839094699,0.33971885639392224,0.14995468698456815
0.2,-2.321928094887362,1,2,L2_038,38,0.8870701083977651,-0.036790460648333925,1.4562302150997972
0.2,-2.321928094887362,1,2,L2_039,39,-0.6787501591948737,-1.1302815717085903,1.5566031611157105
0.2,-2.321928094887362,1,2,L2_040,40,0.8982378251702017,0.909786927186188,-1.259636991464696
0.2,-2.321928094887362,1,2,L2_041,41,-0.1645401246495362,0.23994732252421716,-1.719247896815123
0.2,-2.321928094887362,1,2,L2_042,42,0.04305249363346914,0.6381953369780138,-0.8859125461595925
0.2,-2.321928094887362,1,2,L2_043,43,0.6177300285951554,-0.22303081073973813,-1.1555231001142823
0.2,-2.321928094887362,1,2,L2_044,44,1.538960690956043,-0.07794751116651882,-0.7468532356273193
0.2,-2.321928094887362,1,2,L2_045,45,1.1219860310542569,0.16298904074310114,1.6468181167618245
0.2,-2.321928094887362,1,2,L2_046,46,1.1780864319684556,0.33213106265072184,1.0694272970812397
0.2,-2.321928094887362,1,2,L2_047,47,1.4062507996544522,1.1047431561729153,0.9841590207916543
0.2,-2.321928094887362,1,2,L2_048,48,2.036212528697736,0.08623139453045325,-1.0851210997831575
0.2,-2.321928094887362,1,2,L2_049,49,1.1967793917914034,0.6803410154852905,-1.407278480145055
0.2,-2.321928094887362,1,2,L2_050,50,0.5428431631616623,0.13631074337197546,-0.09441180631506679
0.2,-2.321928094887362,1,2,L2_051,51,0.6903084708234392,0.5170080598936737,-0.8617573262668934
0.2,-2.321928094887362,1,2,L2_052,52,0.44534737311239625,0.6845203176940793,-0.2251940930609465
0.2,-2.321928094887362,1,2,L2_053,53,0.48941266155328167,0.04845260295712063,-1.4075819780181211
0.2,-2.321928094887362,1,2,L2_054,54,-0.6096957376501401,0.9269283488316707,-0.8233313008397164
0.2,-2.321928094887362,1,2,L2_055,55,0.765298804475898,0.5545491499485025,-1.347654459495812
0.2,-2.321928094887362,1,2,L2_056,56,0.6355398643745449,0.6923295698094217,-1.3617497769324254
0.2,-2.321928094887362,1,2,L2_057,57,-1.6109516398654307,0.8998311376201511,-0.8075231283003468
0.2,-2.321928094887362,1,2,L2_058,58,-0.39473368106229634,1.4025763007100074,-0.5422303543748236
0.2,-2.321928094887362,1,2,L2_059,59,0.3960123096582298,1.1064426568339534,-0.8582190713514711
0.2,-2.321928094887362,1,2,L2_060,60,-0.9601226891103679,0.38774351777469945,0.9019864994741044
0.2,-2.321928094887362,1,2,L2_061,61,-1.0708090550460616,0.04111515736222047,-1.069531647336535
0.2,-2.321928094887362,1,2,L2_062,62,-0.304213670101886,0.36824409461090263,-1.5475394880735391
0.2,-2.321928094887362,1,2,L2_063,63,0.32448609988313454,0.3685323017413629,-1.0261001042210194
0.2,-2.321928094887362,1,2,L2_064,64,-0.3708355559877505,0.7097719754946354,1.1833195874037232
0.2,-2.321928094887362,1,2,L2_065,65,-0.4557680234664681,1.108208512350049,0.8016178947120951
0.2,-2.321928094887362,1,2,L2_066,66,0.07536906447366848,1.5741321003238045,0.7122327131825202
0.2,-2.321928094887362,1,2,L2_067,67,0.3041568551032852,1.4787881723764795,-0.9568271267399231
0.2,-2.321928094887362,1,2,L2_068,68,0.3941524757255346,0.8792759033175698,-1.3317396609923189
0.2,-2.321928094887362,1,2,L2_069,69,-1.649114245415291,1.129736484171076,-1.1891369599880448
0.2,-2.321928094887362,1,2,L2_070,70,1.5931390226644446,1.2680343896308508,0.28942524329381
0.2,-2.321928094887362,1,2,L2_071,71,0.047703432809758216,0.8324111258324361,1.4223670306895515
0.2,-2.321928094887362,1,2,L2_072,72,-0.36952153126271214,1.334671082450379,1.533886349742071
0.2,-2.321928094887362,1,2,L2_073,73,-1.1323337731225576,1.3798135224200963,-0.2032249276750468
0.2,-2.321928094887362,1,2,L2_074,74,-0.3093382559783959,1.2899153830129835,-1.1068909119756836
0.2,-2.321928094887362,1,2,L2_075,75,-0.7981502714568927,0.909815238663675,1.1205708639706653
0.2,-2.321928094887362,1,2,L2_076,76,-0.5471114868807596,1.8367454793089826,1.5319934153002595
0.2,-2.321928094887362,1,2,L2_077,77,-0.8975244959377988,1.633580667078401,1.3394579909451896
0.2,-2.321928094887362,1,2,L2_078,78,0.8092218089761133,1.0361436915213504,-0.19827246264988024
0.2,-2.321928094887362,1,2,L2_079,79,-2.071877054910185,1.765778759874626,-0.6820677483165787
0.2,-2.321928094887362,1,3,L3_000,80,-0.5141344345390019,,
0.2,-2.321928094887362,1,3,L3_001,81,-0.299220340867156,,
0.2,-2.321928094887362,1,3,L3_002,82,1.720577506365891,,
0.2,-2.321928094887362,1,3,L3_003,83,-0.2073675053471086,,
0.2,-2.321928094887362,1,3,L3_004,84,-0.5357920490926734,,
0.2,-2.321928094887362,1,3,L3_005,85,1.725313268168154,,
0.2,-2.321928094887362,1,3,L3_006,86,1.5289704213880475,,
0.2,-2.321928094887362,1,3,L3_007,87,0.4479279140769439,,
0.2,-2.321928094887362,1,3,L3_008,88,-0.7373815291145593,,
0.2,-2.321928094887362,1,3,L3_009,89,-0.4001972754309872,,
0.2,-2.321928094887362,1,3,L3_010,90,-1.793796218324066,,
0.2,-2.321928094887362,1,3,L3_011,91,0.30351260673444536,,
0.2,-2.321928094887362,1,3,L3_012,92,0.20904384289046635,,
0.2,-2.321928094887362,1,3,L3_013,93,1.559945993682012,,
0.2,-2.321928094887362,1,3,L3_014,94,0.3378168591162421,,
0.2,-2.321928094887362,1,3,L3_015,95,1.232227146157956,,
0.2,-2.321928094887362,1,3,L3_016,96,-1.8330698986723841,,
0.2,-2.321928094887362,1,3,L3_017,97,-0.38120456567760563,,
0.2,-2.321928094887362,1,3,L3_018,98,-1.3287854065193387,,
0.2,-2.321928094887362,1,3,L3_019,99,-0.992973570675412,,
0.2,-2.321928094887362,1,3,L3_020,100,0.9562081996238339,,
0.2,-2.321928094887362,1,3,L3_021,101,2.3038853036952407,,
0.2,-2.321928094887362,1,3,L3_022,102,-1.3968797775330248,,
0.2,-2.321928094887362,1,3,L3_023,103,0.7941948681506327,,
0.2,-2.321928094887362,1,3,L3_024,104,-1.086733309407642,,
0.2,-2.321928094887362,1,3,L3_025,105,-0.3685549746759198,,
0.2,-2.321928094887362,1,3,L3_026,106,-0.06770926971151602,,
0.2,-2.321928094887362,1,3,L3_027,107,0.2867584416841043,,
0.2,-2.321928094887362,1,3,L3_028,108,-0.07010616482909518,,
0.2,-2.321928094887362,1,3,L3_029,109,-0.41254178057844904,,
0.2,-2.321928094887362,1,3,L3_030,110,-0.30900277208448346,,
0.2,-2.321928094887362,1,3,L3_031,111,-0.17963875023981735,,
0.2,-2.321928094887362,1,3,L3_032,112,0.16285693534726134,,
0.2,-2.321928094887362,1,3,L3_033,113,-0.2058718358252621,,
0.2,-2.321928094887362,1,3,L3_034,114,0.5524188259132299,,
0.2,-2.321928094887362,1,3,L3_035,115,-0.7060125507641785,,
0.2,-2.321928094887362,1,3,L3_036,116,1.046824226839119,,
0.2,-2.321928094887362,1,3,L3_037,117,0.01664453566977832,,
0.2,-2.321928094887362,1,3,L3_038,118,0.9601666566031993,,
