species,node,edge_source_dca_mean,n_edge_values,EdgeStdFCV_raw,EdgeStdFCV_zscore,EdgeStdFCV,PreDCA,predca_for_plot,predca_mode,class_order,class_label,fine_class,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,IL1L,-0.0248087370443968,9,0.3545102878121302,0.3664802206317709,0.3664802206317709,-0.0039304772272032,-0.0039304772272032,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,9.0,-0.024808737044396813
C. elegans,OLQVR,0.0049068617713158,13,0.354593484297119,0.3974154971940922,0.3974154971940922,0.0084779199831973,0.0084779199831973,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,13.0,0.004906861771315814
C. elegans,SMBVR,0.0265343011775485,17,0.3551667481069022,0.720566827203706,0.720566827203706,0.0277254575230129,0.0277254575230129,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,17.0,0.02653430117754854
C. elegans,OLLR,0.0240747197834273,19,0.3552261822478234,0.4679520859572197,0.4679520859572197,0.0191452047984926,0.0191452047984926,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,19.0,0.02407471978342733
C. elegans,RIH,0.008554883333803,24,0.3553688125370224,0.4543163228650999,0.4543163228650999,0.0104559454494932,0.0104559454494932,signed_PreDCA,2,integrative relay,integrative interneuron,4,integrative relay,24.0,0.00855488333380302
C. elegans,ASEL,0.0146550452397046,13,0.3558329398351027,0.5999583936775703,0.5999583936775703,0.0092507197028675,0.0092507197028675,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,13.0,0.014655045239704647
C. elegans,ASIR,0.0314410617909677,4,0.3564426943021062,0.4849856275222814,0.4849856275222814,0.019999902767536,0.019999902767536,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,4.0,0.03144106179096773
C. elegans,OLLL,0.0292886846783571,10,0.3580289779998295,0.6043314415104001,0.6043314415104001,0.0389772717467841,0.0389772717467841,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,10.0,0.029288684678357192
C. elegans,RIBR,0.0377381971521959,21,0.35840522249037,1.0345687486246304,1.0345687486246304,0.0584895164387816,0.0584895164387816,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,21.0,0.03773819715219592
C. elegans,SAADL,0.0157310570421426,14,0.3592961685042783,0.4228558155914764,0.4228558155914764,-0.0008080246668527,-0.0008080246668527,signed_PreDCA,1,sensorimotor output,other interneuron,3,sensorimotor output,14.0,0.015731057042142664
C. elegans,ASHL,0.0156294616694286,10,0.3597861880175925,0.6738876331718797,0.6738876331718797,0.0224048983033459,0.0224048983033459,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,10.0,0.01562946166942862
C. elegans,IL1R,-0.0054668037479117,13,0.3605550462276384,0.9045791661704076,0.9045791661704076,-0.0438247959518256,-0.0438247959518256,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,13.0,-0.005466803747911723
C. elegans,AVER,-0.0176981630099635,44,0.362536651788171,0.6490924362642085,0.6490924362642085,0.0269708710480729,0.0269708710480729,signed_PreDCA,1,sensorimotor output,locomotor command interneuron,3,sensorimotor output,44.0,-0.01769816300996358
C. elegans,RIML,0.0243002280801662,25,0.3633512640140533,1.033370210717337,1.033370210717337,0.0277581148191426,0.0277581148191426,signed_PreDCA,4,state-dependent / modulatory,state-modulatory interneuron,6,state-dependent / modulatory,25.0,0.02430022808016628
C. elegans,AVKL,0.0130281438262476,11,0.363661142416298,0.7325166341555567,0.7325166341555567,0.0023213032229562,0.0023213032229562,signed_PreDCA,2,integrative relay,integrative interneuron,4,integrative relay,11.0,0.013028143826247618
C. elegans,AVAR,0.0339849671953097,58,0.3637421682700808,0.6793322880147115,0.6793322880147115,0.0847952555575249,0.0847952555575249,signed_PreDCA,1,sensorimotor output,locomotor command interneuron,3,sensorimotor output,58.0,0.033984967195309766
C. elegans,AIMR,0.0147366935620859,7,0.3643574135103361,0.7860068505129321,0.7860068505129321,0.0144970585762402,0.0144970585762402,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,7.0,0.014736693562085929
C. elegans,RMEV,-0.0066556247868632,18,0.3645377102612743,0.8770372523427571,0.8770372523427571,0.005031462257574,0.005031462257574,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,18.0,-0.006655624786863223
C. elegans,AWAL,0.0395731760241631,4,0.3646351405315848,0.5762403946624005,0.5762403946624005,0.06721188019773,0.06721188019773,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,4.0,0.039573176024163124
C. elegans,IL1VR,0.0309978576165086,8,0.3653855047800126,0.9773081250372956,0.9773081250372956,0.0178492388328706,0.0178492388328706,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,8.0,0.030997857616508688
C. elegans,ASKL,0.0102618482422136,9,0.3658687676584213,0.5828654075667257,0.5828654075667257,0.0005737168630484,0.0005737168630484,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,9.0,0.01026184824221361
C. elegans,RIVR,0.0502846733701936,12,0.3661825565950331,0.876074376911276,0.876074376911276,0.0898898680120462,0.0898898680120462,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,12.0,0.050284673370193655
