species,node,edge_target_dca_mean,n_edge_values,EdgeStdFCV_raw,PostDCA,EdgeStdFCV_zscore,EdgeStdFCV,class_order,class_label,fine_class,postdca_for_plot,postdca_mode,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,SAADR,-0.0487874982348569,15,0.3438771251058332,-0.1204589684187786,0.2322001526469293,0.2322001526469293,1,sensorimotor output,other interneuron,-0.1204589684187786,signed_PostDCA,3,sensorimotor output,15.0,-0.04878749823485693
C. elegans,RIAL,-0.0479246377632524,27,0.3437955063724806,-0.1068063283929411,-0.135090286859046,-0.135090286859046,3,associative / learning,associative interneuron,-0.1068063283929411,signed_PostDCA,5,associative / learning,27.0,-0.04792463776325248
C. elegans,SMDDR,0.0077542314187873,18,0.3423127117237994,0.0087023418880462,0.2208586436124091,0.2208586436124091,1,sensorimotor output,head motor / command,0.0087023418880462,signed_PostDCA,3,sensorimotor output,18.0,0.00775423141878734
C. elegans,IL1VL,-0.0295704490231313,9,0.3422299283485191,-0.1106772305974841,-0.0340689282916831,-0.0340689282916831,0,sensory input,mechanosensory,-0.1106772305974841,signed_PostDCA,2,other sensory,9.0,-0.029570449023131377
C. elegans,AIYR,0.0299014526617352,14,0.3412661090469169,0.0538733599112803,-0.1312169578002816,-0.1312169578002816,3,associative / learning,associative interneuron,0.0538733599112803,signed_PostDCA,5,associative / learning,14.0,0.02990145266173529
C. elegans,URXL,0.0109274816414576,23,0.3411785845952754,0.0381057915407909,-0.0922453345713533,-0.0922453345713533,0,sensory input,thermo/gas sensory,0.0381057915407909,signed_PostDCA,2,other sensory,23.0,0.010927481641457688
C. elegans,URYDR,-0.0433926912442451,14,0.3402787878954743,-0.0869393635161708,-0.2085975773899617,-0.2085975773899617,0,sensory input,other sensory neuron,-0.0869393635161708,signed_PostDCA,2,other sensory,14.0,-0.04339269124424514
C. elegans,RMDVL,-0.0207076983089776,11,0.3373869721321716,-0.1382482450584931,-0.248109221383357,-0.248109221383357,1,sensorimotor output,head motor / command,-0.1382482450584931,signed_PostDCA,3,sensorimotor output,11.0,-0.02070769830897769
C. elegans,IL1DL,-0.0596184985215909,7,0.3369346906485412,-0.0470399069015458,-0.290695203170446,-0.290695203170446,0,sensory input,mechanosensory,-0.0470399069015458,signed_PostDCA,2,other sensory,7.0,-0.05961849852159095
C. elegans,AUAL,0.0031044966439478,12,0.3367137387406114,-0.0233954949985874,-0.2375001825649381,-0.2375001825649381,3,associative / learning,associative interneuron,-0.0233954949985874,signed_PostDCA,5,associative / learning,12.0,0.003104496643947833
