neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
AVDL,16,0.2628586137602013,0.25584763332658644,0.45298922624238686,0.20554591764153035,0.2501164183953483,-0.5093870451120976,-0.6684801902305453,0.30533874946265577,-0.5153075952555966,0.3985045937930494,Interneuron,0.1711132878387832,0.1472306594486241,0.023882628390159,-0.1976308639164232,0.0793065898466523,-0.1931245983544615,0.1666666666666666,4,24,38,137.0,256.0
AVDR,12,0.2441004352164664,0.23757301183277846,0.4212617216839473,0.1846697703818628,0.22666397162320853,-1.325368006278381,-1.4258240886840592,0.03168493964398692,-1.5408736662654512,-0.05189683578269273,Interneuron,0.2109015101611936,0.122497850142825,0.0884036600183685,-0.2185806460870022,0.0660833213264959,-0.1810546785872313,0.2857142857142857,8,28,43,153.0,226.0
AVEL,12,0.2674418198651617,0.2773214668068423,0.1640580579938579,0.21474121703027893,0.09940224468017755,-0.3100175320205498,0.2214466828480014,-2.186729759137932,-0.06357735266923649,-2.495943049907803,Interneuron,0.0559524348760565,0.1018416408326355,-0.045889205956579,-0.0709595308692544,0.0383452695813948,-0.3212333817522681,0.0,0,20,43,119.0,306.0
AVER,14,0.2733495441285772,0.2809352447896422,0.18576333811006032,0.2203604707270752,0.1172936149953303,-0.05303146530155028,0.3712102610740412,-1.9995189248903258,0.21247530513917243,-2.1523414272154273,Interneuron,0.1165810914730219,0.0984116508055127,0.0181694406675091,-0.1345850558722683,0.0269708710480729,-0.2382391658045257,0.28,7,25,44,133.0,295.0
AVHL,6,0.23872507474302826,0.23156737650586134,0.5418800062103147,0.18408441346715318,0.2841274265507426,-1.5591962426129935,-1.6747119396701202,1.0720331660112756,-1.569630035134194,1.051681929332276,Interneuron,0.0078174186638886,0.0043918291733963,0.0034255894904922,-0.0037987991755094,0.0136927022851149,0.1249387366082999,0.5652173913043478,13,23,17,47.0,37.0
AVJL,17,0.25417233460618527,0.24847197714576783,0.4213037779974433,0.19494643502470907,0.2288960917629597,-0.8872402783845759,-0.9741449728103984,0.03204768076010277,-1.0360200431444972,-0.009029236009562533,Interneuron,0.0154912636029921,0.0205402177923883,-0.0050489541893962,-0.0429685802419464,0.0227191287952743,-0.2272437815030625,0.0,0,15,26,33.0,95.0
AVJR,14,0.24332654319165167,0.2376330780088541,0.4971896199421427,0.1841293860811199,0.25134254022077585,-1.3590323173827314,-1.4233348030936712,0.6865728332571799,-1.5674207008908976,0.4220521165045226,Interneuron,0.0425623608135501,0.01889660375616,0.02366575705739,-0.069185953467657,0.0337457433925746,-0.2272437815030625,0.4,6,15,26,56.0,80.0
AVKL,2,0.30191874130420726,0.30012615629978534,0.42844586135648427,0.22962939728445092,0.21121025579839148,1.1897289080879914,1.1665274030948936,0.09364906884419003,0.6678225717438672,-0.34868359613144295,Interneuron,0.0085562418742166,0.0061890883575313,0.0023671535166853,0.0133027442023605,0.0023213032229562,0.1249387366082999,0.6,9,15,11,35.0,73.0
AVKR,2,0.2653237378116263,0.2621376921356427,0.5514838865959568,0.215072061404729,0.2820389756982785,-0.4021541233128897,-0.40780515181365473,1.1548678702576471,-0.047324221236502775,1.0115734810032975,Interneuron,0.0095719807319577,0.0107428627804001,-0.0011708820484423,-0.0135462210341531,0.0070625858229213,0.1413291527964693,0.0,0,17,12,37.0,76.0
AVL,5,0.2875543185532261,0.2840755461326288,0.5180768799349427,0.22191748028020514,0.2616286516982148,0.5648763694677537,0.5013518381360949,0.866728138669699,0.28896528914179054,0.6195956546788663,Interneuron,0.0052896913366199,0.0085195375445586,-0.0032298462079387,-0.0069589402806569,0.020297522295537,0.048304679574555,0.0,0,18,16,53.0,62.0
AWAL,11,0.2965373361191211,0.29096390324880117,0.4505834611075111,0.23457677439469934,0.25083164339987335,0.9556377267340085,0.786821785301327,0.2845887155772281,0.9108684767976316,0.4122404042880582,Sensory,0.0079828330617611,0.0069601365066834,0.0010226965550776,0.0234944405480528,0.06721188019773,0.255272505103306,0.875,7,8,4,54.0,18.0
