Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile
12,49,rimRF,436,3450,18,7.48205999066674e-10,0.010572268716921102,-0.02698174175221089,0.005585078479098971,168673,235388,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,50,rpRF,535,6145,39,9.509904619965748e-10,-0.007443402820594003,-0.011002932108895084,0.01016222219560366,135430,615448,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,51,rGG,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,52,rHb,260,302,300,1.4989007102925101e-06,0.00043084944003063353,0.007996637860694957,-0.0001799350782608047,8261,16,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,53,rHi,27,23,69,7.898372888681579e-10,-0.028411687788679772,-0.024329913433303017,-0.007665059150400582,1366,28,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,54,rHR,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,55,rOG,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,56,rOB,168,156,120,9.73000960815419e-10,-0.004005202364364387,0.018848266174722888,-0.00814117041228889,17,1089,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,57,rOE,35,14,141,9.835105443774344e-10,0.02091573737656132,0.0015638991193397166,0.009506409993522555,4,3,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,58,rP,976,1720,264,9.486968884317055e-10,-0.0005440998908797785,0.012469178368730648,-0.010060487317035854,46317,8428,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,59,rPi,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,60,rPT,407,1014,45,7.821752388032937e-10,-0.0018367867807223626,-0.005343370355215385,-0.00309009476088575,72320,100424,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,61,rPO,382,819,300,3.0813680978237718e-06,-0.00010107388913665562,0.008399059549928742,0.0065971321651170246,123889,84479,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,62,rPrT,577,1927,13,4.529670248348549e-10,-0.005682907298300051,-0.02102933003889058,-0.0016900788683603676,178909,245045,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,63,rR,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
