Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile,RawFC,RawFCV,ZFC,ZFCV,LegacyPostDCA,LegacyPreDCA
12,44,rIO,4,0,0,,,0.020934100339506854,,15,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.044968247095049
12,45,rHc,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,46,rRa,201,404,18,4.243441756695073e-10,-0.0025154009258826133,-0.03132734563020053,0.005887051287661026,33118,102444,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1839267881188569,0.3386043662055977,-0.0993456255272107,0.9229029709413584,0.0776124096901359,-0.1878420301489516
12,47,rT,1437,12101,67,8.188399378479995e-10,0.0016536662992407518,-0.023881251738203206,-0.0018451255021339752,775216,414130,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2947018264777313,0.2928356367933264,1.1170759103693828,-0.3414280649167561,0.0027404993149896,-0.1928241770183516
12,48,raRF,208,310,27,5.683006803181023e-10,-0.0030598920125927986,-0.02303195810802624,-0.00446522655070746,75164,50987,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.283165729264697,0.2576739335921441,0.9903979394291236,-1.3127469807302004,-0.0149293970160801,-0.1540571519978058
12,49,rimRF,436,3450,18,7.48205999066674e-10,0.010572268716921102,-0.02698174175221089,0.005585078479098971,168673,235388,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3435733521302829,0.2346827969426907,1.6537345040075415,-1.9478620033413612,0.0595598209979385,-0.2438764631943287
12,50,rpRF,535,6145,39,9.509904619965748e-10,-0.007443402820594003,-0.011002932108895084,0.01016222219560366,135430,615448,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3257435249535405,0.2401123616033827,1.4579450366291602,-1.797873852045407,0.1093376867128408,-0.0888740029971963
12,51,rGG,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,52,rHb,260,302,300,1.4989007102925101e-06,0.00043084944003063353,0.007996637860694957,-0.0001799350782608047,8261,16,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1247361598870942,0.3402906643374747,-0.7493183628067637,0.969485847311746,-0.0049951235097649,0.0528786711905278
12,53,rHi,27,23,69,7.898372888681579e-10,-0.028411687788679772,-0.024329913433303017,-0.007665059150400582,1366,28,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,-0.0632070487260788,-0.1963896694629206
12,54,rHR,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,55,rOG,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,56,rOB,168,156,120,9.73000960815419e-10,-0.004005202364364387,0.018848266174722888,-0.00814117041228889,17,1089,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.0956961086350223,0.3519365664085672,-1.068207385730142,1.2911962294465578,-0.0541207550638862,-0.0019272321872371
12,57,rOE,35,14,141,9.835105443774344e-10,0.02091573737656132,0.0015638991193397166,0.009506409993522555,4,3,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,-0.0030746560019591,0.0458447645615219
12,58,rP,976,1720,264,9.486968884317055e-10,-0.0005440998908797785,0.012469178368730648,-0.010060487317035854,46317,8428,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1131672666752177,0.3584228326255838,-0.8763564668589039,1.4703750659648671,-0.0612126893013677,0.0951636812393513
12,59,rPi,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,60,rPT,407,1014,45,7.821752388032937e-10,-0.0018367867807223626,-0.005343370355215385,-0.00309009476088575,72320,100424,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2419021227915935,0.3187884204509861,0.5372819639687181,0.375500507640313,-0.0123587941742023,0.0085239543455211
12,61,rPO,382,819,300,3.0813680978237718e-06,-0.00010107388913665562,0.008399059549928742,0.0065971321651170246,123889,84479,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1916073801306876,0.3515751301778547,-0.0150049864262019,1.281211791384992,0.0797035316515306,0.08212073476914
12,62,rPrT,577,1927,13,4.529670248348549e-10,-0.005682907298300051,-0.02102933003889058,-0.0016900788683603676,178909,245045,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3328714487233795,0.2937101922081434,1.5362168215756178,-0.3172690470080243,-0.0053496626192401,-0.1550518642639026
12,63,rR,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,64,rSP,658,1922,56,8.060252098930774e-10,-0.0009880520354794697,0.004263200258775265,-0.005540422983974367,8253,585,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1706114530759656,0.3616561060384418,-0.2455614205638012,1.559692116619002,-0.0268031706889426,-0.0083216199400533
12,65,rTeO,7358,52215,45,6.853311321532853e-10,-0.00023965040317429074,-0.022164837301257664,-0.0036723258459201618,625997,1468159,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1367678264634888,0.3268988809264816,-0.6171985409310161,0.5995466418884776,-0.0135461562919945,-0.1664397690163631
